2024-12-24 11:39:11.237  INFO 13572 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2024-12-24 11:39:11.317  INFO 13572 --- [main] c.c.c.ConfigServicePropertySourceLocator : Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2024-12-24 11:39:11.318  WARN 13572 --- [main] c.c.c.ConfigServicePropertySourceLocator : Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/dmapp/local": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information
2024-12-24 11:39:11.320  INFO 13572 --- [main] com.cmd.excel.CmdAppApplication          : The following 1 profile is active: "local"
2024-12-24 11:39:11.930  INFO 13572 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-12-24 11:39:12.013  INFO 13572 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 75 ms. Found 25 JPA repository interfaces.
2024-12-24 11:39:12.160  INFO 13572 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=87931757-28b5-3dcd-ba0a-b4e7d2c1b468
2024-12-24 11:39:12.527  INFO 13572 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9090 (http)
2024-12-24 11:39:12.537  INFO 13572 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2024-12-24 11:39:12.537  INFO 13572 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.60]
2024-12-24 11:39:12.645  INFO 13572 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2024-12-24 11:39:12.646  INFO 13572 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1309 ms
2024-12-24 11:39:12.871  INFO 13572 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2024-12-24 11:39:12.921  INFO 13572 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.6.7.Final
2024-12-24 11:39:13.070  INFO 13572 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-12-24 11:39:13.167  WARN 13572 --- [main] com.zaxxer.hikari.HikariConfig           : HikariPool-1 - idleTimeout has been set but has no effect because the pool is operating as a fixed size pool.
2024-12-24 11:39:13.169  INFO 13572 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2024-12-24 11:39:13.501  INFO 13572 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2024-12-24 11:39:13.523  INFO 13572 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
2024-12-24 11:39:13.725  WARN 13572 --- [main] org.hibernate.mapping.RootClass          : HHH000038: Composite-id class does not override equals(): com.cmd.excel.model.embed.EntityXreferenceRequestEmbed
2024-12-24 11:39:13.726  WARN 13572 --- [main] org.hibernate.mapping.RootClass          : HHH000039: Composite-id class does not override hashCode(): com.cmd.excel.model.embed.EntityXreferenceRequestEmbed
2024-12-24 11:39:14.236  INFO 13572 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-12-24 11:39:14.244  INFO 13572 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-12-24 11:39:14.672  INFO 13572 --- [main] f.a.AutowiredAnnotationBeanPostProcessor : Autowired annotation is not supported on static fields: private static java.lang.String com.cmd.excel.repository.RegisterRepository.emailUsername
2024-12-24 11:39:14.673  INFO 13572 --- [main] f.a.AutowiredAnnotationBeanPostProcessor : Autowired annotation is not supported on static fields: private static java.lang.String com.cmd.excel.repository.RegisterRepository.emailPassword
2024-12-24 11:39:14.708  INFO 13572 --- [main] org.quartz.impl.StdSchedulerFactory      : Using default implementation for ThreadExecutor
2024-12-24 11:39:14.718  INFO 13572 --- [main] org.quartz.core.SchedulerSignalerImpl    : Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2024-12-24 11:39:14.719  INFO 13572 --- [main] org.quartz.core.QuartzScheduler          : Quartz Scheduler v.2.3.2 created.
2024-12-24 11:39:14.719  INFO 13572 --- [main] org.quartz.simpl.RAMJobStore             : RAMJobStore initialized.
2024-12-24 11:39:14.720  INFO 13572 --- [main] org.quartz.core.QuartzScheduler          : Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2024-12-24 11:39:14.721  INFO 13572 --- [main] org.quartz.impl.StdSchedulerFactory      : Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2024-12-24 11:39:14.721  INFO 13572 --- [main] org.quartz.impl.StdSchedulerFactory      : Quartz scheduler version: 2.3.2
2024-12-24 11:39:14.721  INFO 13572 --- [main] org.quartz.core.QuartzScheduler          : JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@53fb3e1b
2024-12-24 11:39:15.160  WARN 13572 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-12-24 11:39:15.633  INFO 13572 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 17 endpoint(s) beneath base path '/actuator'
2024-12-24 11:39:15.680  INFO 13572 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9090 (http) with context path ''
2024-12-24 11:39:15.743  INFO 13572 --- [main] o.s.s.quartz.SchedulerFactoryBean        : Starting Quartz Scheduler now
2024-12-24 11:39:15.744  INFO 13572 --- [main] org.quartz.core.QuartzScheduler          : Scheduler quartzScheduler_$_NON_CLUSTERED started.
2024-12-24 11:39:15.763  INFO 13572 --- [main] com.cmd.excel.CmdAppApplication          : Started CmdAppApplication in 5.242 seconds (JVM running for 5.557)
2024-12-24 11:40:59.489  INFO 13572 --- [http-nio-9090-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-12-24 11:40:59.489  INFO 13572 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2024-12-24 11:40:59.491  INFO 13572 --- [http-nio-9090-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2024-12-24 11:40:59.637  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:40:59.637  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:40:59.639  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:40:59.639  INFO 13572 --- [http-nio-9090-exec-2] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:41:44.536  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:41:44.537  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:41:44.538  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:41:44.538  INFO 13572 --- [http-nio-9090-exec-3] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:42:07.646  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:42:07.647  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:42:07.648  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : SSO is : false 
2024-12-24 11:42:07.648  INFO 13572 --- [http-nio-9090-exec-5] com.cmd.excel.service.LoginService       : Decrypting pwd
2024-12-24 11:42:11.678  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Checking bad request
2024-12-24 11:42:11.679  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : Getting User from db after checking user exists
2024-12-24 11:42:11.680  INFO 13572 --- [http-nio-9090-exec-4] com.cmd.excel.service.LoginService       : SSO is : false 
